words	nodeTypes	synsetCount	units
a	NOUN	7	batmanforever
r	NOUN	4	batmanforever
e	NOUN	5	batmanforever
v	NOUN	5	batmanforever
e	NOUN	5	batmanforever
r	NOUN	4	batmanforever
production	NOUN	8	batmanforever
draft	NOUN	14	batmanforever
castle	NOUN	5	batmanforever
shadow	NOUN	12	batmanforever
rain	NOUN	4	batmanforever
wind	NOUN	15	batmanforever
lightning	NOUN	2	batmanforever
structure	NOUN	6	batmanforever
metal	NOUN	4	batmanforever
sign	NOUN	20	batmanforever
night	NOUN	8	batmanforever
hallway	NOUN	1	batmanforever
doorway	NOUN	1	batmanforever
security	NOUN	9	batmanforever
cell	NOUN	7	batmanforever
maniac	NOUN	3	batmanforever
casing	NOUN	5	batmanforever
door	NOUN	5	batmanforever
night	NOUN	8	batmanforever
hydraulic	NOUN	2	batmanforever
cell	NOUN	7	batmanforever
door	NOUN	5	batmanforever
unseal	NOUN	1	batmanforever
isolation	NOUN	5	batmanforever
cell	NOUN	7	batmanforever
wall	NOUN	9	batmanforever
ceiling	NOUN	4	batmanforever
floor	NOUN	12	batmanforever
window	NOUN	8	batmanforever
room	NOUN	5	batmanforever
moonlight	NOUN	2	batmanforever
figure	NOUN	18	batmanforever
shadow	NOUN	12	batmanforever
wrap	NOUN	7	batmanforever
tie	NOUN	18	batmanforever
jacket	NOUN	7	batmanforever
gaze	NOUN	2	batmanforever
window	NOUN	8	batmanforever
lightning	NOUN	2	batmanforever
flash	NOUN	19	batmanforever
room	NOUN	5	batmanforever
thunder	NOUN	7	batmanforever
answer	NOUN	15	batmanforever
step	NOUN	21	batmanforever
figure	NOUN	18	batmanforever
shoulder	NOUN	8	batmanforever
lightning	NOUN	2	batmanforever
flash	NOUN	19	batmanforever
body	NOUN	12	batmanforever
chair	NOUN	7	batmanforever
bedsheet	NOUN	0	batmanforever
sheet	NOUN	10	batmanforever
chair	NOUN	7	batmanforever
ceiling	NOUN	4	batmanforever
fan	NOUN	7	batmanforever
lightning	NOUN	2	batmanforever
flash	NOUN	19	batmanforever
